word,weight
analyze,24
appraise,11
break,8
break down,7
calculate,9
categorize,19
classify,10
compare,24
conclude,6
contrast,19
correlate,5
criticize,11
debate,8
deduce,6
detect,7
diagnose,4
diagram,12
differentiate,20
discover,4
discriminate,11
dissect,6
distinguish,21
divide,12
evaluate,4
examine,18
experiment,9
figure,4
group,4
identify,7
illustrate,8
infer,14
inspect,8
inventory,9
investigate,7
order,5
organize,6
outline,10
point out,12
predict,4
prioritize,4
question,12
relate,17
select,12
separate,10
solve,8
subdivide,10
survey,7
test,14
