word,weight
act,19
adapt,4
apply,22
back/back up,5
calculate,10
change,9
choose,11
classify,6
complete,5
compute,10
construct,13
demonstrate,20
develop,4
discover,8
dramatize,16
employ,16
experiment,6
explain,5
generalize,5
identify,4
illustrate,18
implement,4
interpret,15
interview,6
manipulate,10
modify,12
operate,17
organize,4
paint,4
practice,15
predict,9
prepare,11
produce,13
relate,12
schedule,11
select,4
show,13
simulate,5
sketch,17
solve,19
translate,5
use,25
utilize,4
write,5
