word,weight
arrange,22
assemble,14
categorize,7
choose,7
collect,9
combine,14
compile,7
compose,19
construct,29
create,19
design,24
develop,18
devise,13
estimate,5
evaluate,4
explain,8
facilitate,4
formulate,18
generalize,7
generate,11
hypothesize,8
improve,5
integrate,4
invent,10
make,6
manage,8
modify,10
organize,21
originate,9
plan,21
predict,8
prepare,12
produce,13
propose,9
rate,21
rearrange,8
reconstruct,9
relate,8
reorganize,9
revise,12
rewrite,7
role-play,4
set up,9
specify,5
summarize,7
synthesize,4
tell/tell why,5
write,17
